pincode,year,state,district,age_0_5,age_5_17,age_18_greater,total_enrollments,updates_5_17,updates_18_plus,total_updates,UER,UER_18_plus,p90_uer_threshold,p90_uer18_threshold
122018,2025,Haryana,Gurgaon,137,32,7,176,444,3311,3755,21.335227272727273,18.8125,19.0,17.304525288376222
122101,2025,Haryana,Gurgaon,220,52,5,277,1018,7726,8744,31.56678700361011,27.891696750902526,19.0,17.304525288376222
122505,2025,Haryana,Gurgaon,228,52,1,281,1251,9530,10781,38.36654804270463,33.91459074733096,19.0,17.304525288376222
123106,2025,Haryana,Rewari,174,29,1,204,764,4691,5455,26.74019607843137,22.995098039215687,19.0,17.304525288376222
123401,2025,Haryana,Rewari,834,49,1,884,3528,20623,24151,27.320135746606336,23.329185520361992,19.0,17.304525288376222
124507,2025,Haryana,Jhajjar,698,40,10,748,2394,16218,18612,24.88235294117647,21.681818181818183,19.0,17.304525288376222
125033,2025,Haryana,Hisar,689,23,4,716,1436,12704,14140,19.748603351955307,17.743016759776538,19.0,17.304525288376222
125039,2025,Haryana,Hisar,308,7,1,316,626,6127,6753,21.370253164556964,19.389240506329113,19.0,17.304525288376222
125050,2025,Haryana,Fatehabad,580,26,2,608,1698,12395,14093,23.179276315789473,20.386513157894736,19.0,17.304525288376222
125051,2025,Haryana,Fatehabad,500,16,0,516,1123,11209,12332,23.899224806201552,21.722868217054263,19.0,17.304525288376222
125055,2025,Haryana,Sirsa,994,66,2,1062,2123,20526,22649,21.326741996233523,19.327683615819208,19.0,17.304525288376222
125102,2025,Haryana,Sirsa,204,19,0,223,595,4780,5375,24.103139013452914,21.434977578475337,19.0,17.304525288376222
125104,2025,Haryana,Sirsa,340,35,0,375,669,7291,7960,21.226666666666667,19.442666666666668,19.0,17.304525288376222
132001,2025,Haryana,Karnal,1121,90,3,1214,3616,21592,25208,20.764415156507415,17.785831960461284,19.0,17.304525288376222
133302,2025,Haryana,Panchkula,102,7,0,109,429,1944,2373,21.770642201834864,17.834862385321102,19.0,17.304525288376222
134102,2025,Haryana,Panchkula,188,15,0,203,1189,6281,7470,36.79802955665025,30.940886699507388,19.0,17.304525288376222
134112,2025,Haryana,Panchkula,50,4,0,54,239,1567,1806,33.44444444444444,29.01851851851852,19.0,17.304525288376222
134113,2025,Haryana,Panchkula,141,15,0,156,1229,4714,5943,38.09615384615385,30.21794871794872,19.0,17.304525288376222
134116,2025,Haryana,Panchkula,107,5,1,113,1152,4833,5985,52.9646017699115,42.769911504424776,19.0,17.304525288376222
135003,2025,Haryana,Yamuna Nagar,332,15,1,348,1582,9829,11411,32.79022988505747,28.24425287356322,19.0,17.304525288376222
135102,2025,Haryana,Yamuna Nagar,255,6,2,263,577,4553,5130,19.505703422053234,17.311787072243344,19.0,17.304525288376222
136034,2025,Haryana,Kaithal,210,8,0,218,442,3820,4262,19.55045871559633,17.522935779816514,19.0,17.304525288376222
136035,2025,Haryana,Kaithal,104,3,0,107,265,2103,2368,22.130841121495326,19.654205607476637,19.0,17.304525288376222
140101,2025,Punjab,Rupnagar,77,9,3,89,130,2000,2130,23.93258426966292,22.471910112359552,19.0,17.304525288376222
140401,2025,Punjab,Patiala,420,40,2,462,1019,9484,10503,22.733766233766232,20.528138528138527,19.0,17.304525288376222
140406,2025,Punjab,Fatehgarh Sahib,236,22,3,261,402,5993,6395,24.50191570881226,22.961685823754788,19.0,17.304525288376222
140412,2025,Punjab,Fatehgarh Sahib,84,5,0,89,96,1598,1694,19.03370786516854,17.95505617977528,19.0,17.304525288376222
140603,2025,Punjab,SAS Nagar (Mohali),352,80,3,435,1156,12216,13372,30.74022988505747,28.082758620689656,19.0,17.304525288376222
140604,2025,Punjab,S.A.S Nagar(Mohali),48,9,0,57,98,996,1094,19.19298245614035,17.473684210526315,19.0,17.304525288376222
141401,2025,Punjab,Ludhiana,234,27,1,262,355,5754,6109,23.31679389312977,21.9618320610687,19.0,17.304525288376222
142001,2025,Punjab,Moga,282,42,11,335,628,9222,9850,29.402985074626866,27.528358208955225,19.0,17.304525288376222
142043,2025,Punjab,Ferozepur,109,14,0,123,192,2449,2641,21.471544715447155,19.910569105691057,19.0,17.304525288376222
142044,2025,Punjab,Ferozepur,128,17,1,146,186,2863,3049,20.883561643835616,19.60958904109589,19.0,17.304525288376222
142047,2025,Punjab,Ferozepur,114,14,4,132,156,2668,2824,21.393939393939394,20.21212121212121,19.0,17.304525288376222
142052,2025,Punjab,Ferozepur,84,7,0,91,124,1808,1932,21.23076923076923,19.86813186813187,19.0,17.304525288376222
142060,2025,Punjab,Ferozepur,29,2,0,31,56,747,803,25.903225806451612,24.096774193548388,19.0,17.304525288376222
143105,2025,Punjab,Tarn Taran,321,66,8,395,735,10333,11068,28.020253164556962,26.159493670886075,19.0,17.304525288376222
143416,2025,Punjab,Tarn Taran,252,26,0,278,326,7189,7515,27.032374100719423,25.859712230215827,19.0,17.304525288376222
143512,2025,Punjab,Gurdaspur,75,7,1,83,181,1751,1932,23.27710843373494,21.096385542168676,19.0,17.304525288376222
143518,2025,Punjab,Gurdaspur,151,13,5,169,232,3230,3462,20.485207100591715,19.11242603550296,19.0,17.304525288376222
143519,2025,Punjab,Gurdaspur,158,16,2,176,427,3962,4389,24.9375,22.511363636363637,19.0,17.304525288376222
143521,2025,Punjab,Gurdaspur,385,51,19,455,810,9334,10144,22.294505494505493,20.514285714285716,19.0,17.304525288376222
143525,2025,Punjab,Gurdaspur,35,2,0,37,39,745,784,21.18918918918919,20.135135135135137,19.0,17.304525288376222
143531,2025,Punjab,Gurdaspur,163,13,0,176,353,3279,3632,20.636363636363637,18.630681818181817,19.0,17.304525288376222
144002,2025,Punjab,Jalandhar,226,57,1,284,483,6396,6879,24.221830985915492,22.52112676056338,19.0,17.304525288376222
144041,2025,Punjab,Jalandhar,84,12,2,98,59,1867,1926,19.653061224489797,19.051020408163264,19.0,17.304525288376222
144202,2025,Punjab,Hoshiarpur,60,10,9,79,71,1449,1520,19.240506329113924,18.341772151898734,19.0,17.304525288376222
144211,2025,Punjab,Hoshiarpur,159,12,8,179,242,3256,3498,19.54189944134078,18.189944134078214,19.0,17.304525288376222
144221,2025,Punjab,Hoshiarpur,115,2,0,117,242,2182,2424,20.71794871794872,18.64957264957265,19.0,17.304525288376222
144306,2025,Punjab,Hoshiarpur,80,0,2,82,107,1850,1957,23.865853658536587,22.5609756097561,19.0,17.304525288376222
144622,2025,Punjab,Kapurthala,57,9,0,66,82,1265,1347,20.40909090909091,19.166666666666668,19.0,17.304525288376222
145001,2025,Punjab,Pathankot,433,37,8,478,701,9240,9941,20.797071129707113,19.330543933054393,19.0,17.304525288376222
147101,2025,Punjab,Patiala,259,22,0,281,936,10632,11568,41.16725978647687,37.836298932384345,19.0,17.304525288376222
147201,2025,Punjab,Patiala,229,39,2,270,747,7480,8227,30.47037037037037,27.703703703703702,19.0,17.304525288376222
148023,2025,Punjab,Sangrur,493,112,2,607,872,12066,12938,21.314662273476113,19.87808896210873,19.0,17.304525288376222
148031,2025,Punjab,Sangrur,147,10,1,158,133,2921,3054,19.329113924050635,18.4873417721519,19.0,17.304525288376222
148107,2025,Punjab,Barnala,82,4,2,88,82,1718,1800,20.454545454545453,19.522727272727273,19.0,17.304525288376222
151203,2025,Punjab,Faridkot,256,34,3,293,407,7321,7728,26.37542662116041,24.986348122866893,19.0,17.304525288376222
151206,2025,Punjab,Bathinda,50,9,2,61,43,1172,1215,19.918032786885245,19.21311475409836,19.0,17.304525288376222
151208,2025,Punjab,Faridkot,33,1,0,34,67,755,822,24.176470588235293,22.205882352941178,19.0,17.304525288376222
151211,2025,Punjab,Sri Muktsar Sahib,29,4,0,33,60,1367,1427,43.24242424242424,41.42424242424242,19.0,17.304525288376222
151401,2025,Punjab,Bathinda,127,11,0,138,171,4214,4385,31.77536231884058,30.536231884057973,19.0,17.304525288376222
151501,2025,Punjab,Mansa,116,9,4,129,302,3122,3424,26.54263565891473,24.2015503875969,19.0,17.304525288376222
151503,2025,Punjab,Mansa,70,9,2,81,61,1763,1824,22.51851851851852,21.765432098765434,19.0,17.304525288376222
151505,2025,Punjab,Mansa,288,22,6,316,613,8934,9547,30.212025316455698,28.272151898734176,19.0,17.304525288376222
151506,2025,Punjab,Mansa,84,8,0,92,75,2165,2240,24.347826086956523,23.532608695652176,19.0,17.304525288376222
152002,2025,Punjab,Ferozepur,346,37,0,383,552,7671,8223,21.469973890339425,20.028720626631852,19.0,17.304525288376222
152004,2025,Punjab,Ferozepur,46,10,0,56,98,1452,1550,27.678571428571427,25.928571428571427,19.0,17.304525288376222
152021,2025,Punjab,Ferozepur,86,8,0,94,75,1871,1946,20.70212765957447,19.904255319148938,19.0,17.304525288376222
152022,2025,Punjab,Ferozepur,212,9,0,221,303,4046,4349,19.67873303167421,18.307692307692307,19.0,17.304525288376222
152024,2025,Punjab,Fazilka,420,28,1,449,518,8382,8900,19.821826280623608,18.66815144766147,19.0,17.304525288376222
152112,2025,Punjab,Sri Muktsar Sahib,95,3,1,99,120,1884,2004,20.242424242424242,19.03030303030303,19.0,17.304525288376222
152116,2025,Punjab,Fazilka,324,111,5,440,526,8393,8919,20.270454545454545,19.075,19.0,17.304525288376222
152117,2025,Punjab,Fazilka,44,6,2,52,74,976,1050,20.192307692307693,18.76923076923077,19.0,17.304525288376222
152132,2025,Punjab,Fazilka,65,26,1,92,115,1989,2104,22.869565217391305,21.619565217391305,19.0,17.304525288376222
160002,2025,Chandigarh,Chandigarh,190,21,0,211,671,3954,4625,21.919431279620852,18.739336492890995,19.0,17.304525288376222
160014,2025,Chandigarh,Chandigarh,440,26,2,468,1953,10749,12702,27.141025641025642,22.96794871794872,19.0,17.304525288376222
160015,2025,Chandigarh,Chandigarh,58,0,2,60,197,1232,1429,23.816666666666666,20.533333333333335,19.0,17.304525288376222
160019,2025,Chandigarh,Chandigarh,131,7,1,139,848,4390,5238,37.68345323741007,31.58273381294964,19.0,17.304525288376222
160020,2025,Chandigarh,Chandigarh,35,1,3,39,71,735,806,20.666666666666668,18.846153846153847,19.0,17.304525288376222
160022,2025,Chandigarh,Chandigarh,57,8,2,67,190,1578,1768,26.388059701492537,23.55223880597015,19.0,17.304525288376222
160025,2025,Chandigarh,Chandigarh,164,8,0,172,916,3493,4409,25.63372093023256,20.308139534883722,19.0,17.304525288376222
160036,2025,Chandigarh,Chandigarh,368,49,19,436,1920,13593,15513,35.580275229357795,31.176605504587155,19.0,17.304525288376222
160047,2025,Chandigarh,Chandigarh,270,41,2,313,1806,10982,12788,40.85623003194888,35.08626198083067,19.0,17.304525288376222
160101,2025,Chandigarh,Chandigarh,297,29,0,326,2959,12277,15236,46.736196319018404,37.65950920245399,19.0,17.304525288376222
160102,2025,Chandigarh,Chandigarh,181,11,0,192,1063,3790,4853,25.276041666666668,19.739583333333332,19.0,17.304525288376222
160104,2025,Punjab,SAS Nagar (Mohali),32,5,0,37,106,659,765,20.675675675675677,17.81081081081081,19.0,17.304525288376222
173025,2025,Himachal Pradesh,Sirmaur,289,8,1,298,601,5223,5824,19.543624161073826,17.526845637583893,19.0,17.304525288376222
185111,2025,Jammu and Kashmir,Punch,262,114,4,380,1762,7541,9303,24.481578947368423,19.844736842105263,19.0,17.304525288376222
190002,2025,Jammu and Kashmir,Srinagar,318,16,28,362,518,6597,7115,19.654696132596683,18.223756906077348,19.0,17.304525288376222
193224,2025,Jammu and Kashmir,Kupwara,522,136,10,668,3080,13091,16171,24.20808383233533,19.597305389221557,19.0,17.304525288376222
194201,2025,Ladakh,Leh,29,4,1,34,193,637,830,24.41176470588235,18.735294117647058,19.0,17.304525288376222
201009,2025,Uttar Pradesh,Gautam Buddha Nagar,790,555,35,1380,3474,28955,32429,23.49927536231884,20.981884057971016,19.0,17.304525288376222
201303,2025,Uttar Pradesh,Gautam Buddha Nagar,47,25,2,74,135,1327,1462,19.756756756756758,17.93243243243243,19.0,17.304525288376222
201304,2025,Uttar Pradesh,Gautam Buddha Nagar,269,241,7,517,1730,15061,16791,32.477756286266924,29.131528046421664,19.0,17.304525288376222
201318,2025,Uttar Pradesh,Gautam Buddha Nagar,74,38,1,113,355,3112,3467,30.68141592920354,27.539823008849556,19.0,17.304525288376222
202127,2025,Uttar Pradesh,Aligarh,106,74,1,181,441,3155,3596,19.867403314917127,17.430939226519335,19.0,17.304525288376222
202414,2025,Uttar Pradesh,Sambhal,163,45,1,209,333,3678,4011,19.19138755980861,17.598086124401913,19.0,17.304525288376222
203396,2025,Uttar Pradesh,Bulandshahr,16,20,0,36,141,1371,1512,42.0,38.083333333333336,19.0,17.304525288376222
204214,2025,Uttar Pradesh,Hathras,83,80,7,170,321,4184,4505,26.5,24.611764705882354,19.0,17.304525288376222
205152,2025,Uttar Pradesh,Firozabad,120,134,4,258,463,5034,5497,21.3062015503876,19.511627906976745,19.0,17.304525288376222
209121,2025,Uttar Pradesh,Kanpur Dehat,172,140,5,317,494,5860,6354,20.04416403785489,18.485804416403784,19.0,17.304525288376222
209208,2025,Uttar Pradesh,Kanpur Dehat,63,103,4,170,290,3077,3367,19.805882352941175,18.1,19.0,17.304525288376222
209749,2025,Uttar Pradesh,Farrukhabad,45,48,3,96,150,1685,1835,19.114583333333332,17.552083333333332,19.0,17.304525288376222
209868,2025,Uttar Pradesh,Unnao,20,3,12,35,65,696,761,21.742857142857144,19.885714285714286,19.0,17.304525288376222
210128,2025,Uttar Pradesh,Banda,60,121,4,185,278,3646,3924,21.21081081081081,19.708108108108107,19.0,17.304525288376222
212301,2025,Uttar Pradesh,Allahabad,313,238,4,555,1110,10937,12047,21.706306306306306,19.706306306306306,19.0,17.304525288376222
212306,2025,Uttar Pradesh,Allahabad,318,161,0,479,1291,11231,12522,26.1419624217119,23.44676409185804,19.0,17.304525288376222
212307,2025,Uttar Pradesh,Allahabad,84,89,2,175,577,4353,4930,28.17142857142857,24.874285714285715,19.0,17.304525288376222
212651,2025,Uttar Pradesh,Fatehpur,78,71,0,149,315,2968,3283,22.033557046979865,19.91946308724832,19.0,17.304525288376222
212655,2025,Uttar Pradesh,Fatehpur,358,257,2,617,1030,13357,14387,23.317666126418153,21.648298217179903,19.0,17.304525288376222
221716,2025,Uttar Pradesh,Ballia,90,130,0,220,651,4044,4695,21.34090909090909,18.381818181818183,19.0,17.304525288376222
222113,2025,Uttar Pradesh,Jaunpur,23,20,1,44,108,791,899,20.431818181818183,17.977272727272727,19.0,17.304525288376222
222133,2025,Uttar Pradesh,Jaunpur,48,115,0,163,458,4220,4678,28.699386503067483,25.88957055214724,19.0,17.304525288376222
224202,2025,Uttar Pradesh,Faizabad,74,43,0,117,234,2136,2370,20.256410256410255,18.256410256410255,19.0,17.304525288376222
231207,2025,Uttar Pradesh,Sonbhadra,72,31,0,103,245,1943,2188,21.24271844660194,18.864077669902912,19.0,17.304525288376222
231211,2025,Uttar Pradesh,Mirzapur,406,271,1,678,1060,12029,13089,19.305309734513273,17.74188790560472,19.0,17.304525288376222
231213,2025,Uttar Pradesh,Sonbhadra,211,164,0,375,801,7578,8379,22.344,20.208,19.0,17.304525288376222
231225,2025,Uttar Pradesh,Sonbhadra,59,40,1,100,204,2673,2877,28.77,26.73,19.0,17.304525288376222
232102,2025,Uttar Pradesh,Chandauli,113,91,0,204,422,3918,4340,21.274509803921568,19.205882352941178,19.0,17.304525288376222
232339,2025,Uttar Pradesh,Ghazipur,15,29,0,44,90,889,979,22.25,20.204545454545453,19.0,17.304525288376222
243122,2025,Uttar Pradesh,Bareilly,575,405,28,1008,1835,17937,19772,19.615079365079364,17.794642857142858,19.0,17.304525288376222
243123,2025,Uttar Pradesh,Bareilly,521,287,37,845,2430,25035,27465,32.50295857988166,29.62721893491124,19.0,17.304525288376222
243302,2025,Uttar Pradesh,Bareilly,221,200,11,432,855,7533,8388,19.416666666666668,17.4375,19.0,17.304525288376222
243506,2025,Uttar Pradesh,Bareilly,93,117,18,228,461,4731,5192,22.771929824561404,20.75,19.0,17.304525288376222
243633,2025,Uttar Pradesh,Budaun,286,292,14,592,1231,13013,14244,24.06081081081081,21.98141891891892,19.0,17.304525288376222
243637,2025,Uttar Pradesh,Budaun,106,117,8,231,366,4112,4478,19.385281385281385,17.8008658008658,19.0,17.304525288376222
244712,2025,Uttarakhand,Udham Singh Nagar,380,47,0,427,927,9190,10117,23.693208430913348,21.52224824355972,19.0,17.304525288376222
244713,2025,Uttarakhand,Udham Singh Nagar,1021,233,1,1255,2946,23192,26138,20.827091633466136,18.479681274900397,19.0,17.304525288376222
246149,2025,Uttarakhand,Garhwal,351,23,1,375,979,7808,8787,23.432,20.82133333333333,19.0,17.304525288376222
246435,2025,Uttarakhand,Chamoli,50,5,3,58,75,1129,1204,20.75862068965517,19.46551724137931,19.0,17.304525288376222
246733,2025,Uttar Pradesh,Bijnor,762,223,0,985,1995,21157,23152,23.50456852791878,21.479187817258882,19.0,17.304525288376222
246765,2025,Uttar Pradesh,Bijnor,25,11,0,36,48,756,804,22.333333333333332,21.0,19.0,17.304525288376222
248140,2025,Uttarakhand,Dehradun,250,22,0,272,733,6055,6788,24.955882352941178,22.261029411764707,19.0,17.304525288376222
248142,2025,Uttarakhand,Dehradun,210,25,0,235,429,4860,5289,22.506382978723405,20.680851063829788,19.0,17.304525288376222
248198,2025,Uttarakhand,Dehradun,120,17,0,137,290,2565,2855,20.83941605839416,18.722627737226276,19.0,17.304525288376222
249146,2025,Uttarakhand,Tehri Garhwal,58,6,1,65,207,1286,1493,22.96923076923077,19.784615384615385,19.0,17.304525288376222
249186,2025,Uttarakhand,Tehri Garhwal,48,13,0,61,133,1810,1943,31.852459016393443,29.672131147540984,19.0,17.304525288376222
249407,2025,Uttarakhand,Haridwar,282,70,1,353,902,7816,8718,24.69688385269122,22.141643059490086,19.0,17.304525288376222
251308,2025,Uttar Pradesh,Muzaffarnagar,162,121,1,284,471,5166,5637,19.848591549295776,18.190140845070424,19.0,17.304525288376222
251310,2025,Uttar Pradesh,Muzaffarnagar,63,44,2,109,175,2327,2502,22.954128440366972,21.34862385321101,19.0,17.304525288376222
251316,2025,Uttar Pradesh,Muzaffarnagar,148,115,1,264,510,4711,5221,19.776515151515152,17.84469696969697,19.0,17.304525288376222
251320,2025,Uttar Pradesh,Muzaffarnagar,25,15,0,40,65,757,822,20.55,18.925,19.0,17.304525288376222
262308,2025,Uttarakhand,Udham Singh Nagar,641,133,2,776,2381,17106,19487,25.112113402061855,22.04381443298969,19.0,17.304525288376222
262405,2025,Uttarakhand,Udham Singh Nagar,319,48,4,371,782,8044,8826,23.78975741239892,21.681940700808624,19.0,17.304525288376222
262524,2025,Uttarakhand,Champawat,131,18,0,149,464,3220,3684,24.7248322147651,21.610738255033556,19.0,17.304525288376222
263148,2025,Uttarakhand,Udham Singh Nagar,558,151,6,715,2743,20190,22933,32.074125874125876,28.237762237762237,19.0,17.304525288376222
263151,2025,Uttarakhand,Udham Singh Nagar,71,5,1,77,111,1362,1473,19.12987012987013,17.68831168831169,19.0,17.304525288376222
263152,2025,Uttarakhand,Udham Singh Nagar,309,55,0,364,830,7401,8231,22.61263736263736,20.332417582417584,19.0,17.304525288376222
263153,2025,Uttarakhand,Udham Singh Nagar,656,162,1,819,2423,15703,18126,22.13186813186813,19.173382173382173,19.0,17.304525288376222
263637,2025,Uttarakhand,Almora,41,0,0,41,126,975,1101,26.853658536585368,23.78048780487805,19.0,17.304525288376222
274401,2025,Uttar Pradesh,Kushinagar,280,374,1,655,1425,11524,12949,19.76946564885496,17.593893129770994,19.0,17.304525288376222
274409,2025,Uttar Pradesh,Kushinagar,210,304,0,514,1102,8955,10057,19.56614785992218,17.42217898832685,19.0,17.304525288376222
274506,2025,Uttar Pradesh,Deoria,70,56,3,129,249,2685,2934,22.74418604651163,20.813953488372093,19.0,17.304525288376222
274703,2025,Uttar Pradesh,Deoria,112,60,2,174,357,3314,3671,21.097701149425287,19.04597701149425,19.0,17.304525288376222
277210,2025,Uttar Pradesh,Ballia,41,46,0,87,179,1520,1699,19.528735632183906,17.471264367816094,19.0,17.304525288376222
284203,2025,Uttar Pradesh,Jhansi,61,68,3,132,261,2913,3174,24.045454545454547,22.068181818181817,19.0,17.304525288376222
301407,2025,Rajasthan,Alwar,34,24,1,59,125,1097,1222,20.71186440677966,18.593220338983052,19.0,17.304525288376222
302031,2025,Rajasthan,Jaipur,317,147,17,481,1197,10177,11374,23.646569646569645,21.158004158004157,19.0,17.304525288376222
302039,2025,Rajasthan,Jaipur,289,95,9,393,998,7375,8373,21.30534351145038,18.765903307888042,19.0,17.304525288376222
305203,2025,Rajasthan,Ajmer,52,15,0,67,94,1322,1416,21.134328358208954,19.73134328358209,19.0,17.304525288376222
305624,2025,Rajasthan,Ajmer,199,47,1,247,407,4786,5193,21.024291497975707,19.37651821862348,19.0,17.304525288376222
311806,2025,Rajasthan,Bhilwara,50,43,3,96,93,2629,2722,28.354166666666668,27.385416666666668,19.0,17.304525288376222
312027,2025,Rajasthan,Chittorgarh,43,27,1,71,132,2497,2629,37.028169014084504,35.16901408450704,19.0,17.304525288376222
312201,2025,Rajasthan,Chittorgarh,64,30,0,94,145,1742,1887,20.074468085106382,18.53191489361702,19.0,17.304525288376222
312206,2025,Rajasthan,Chittorgarh,50,24,1,75,135,2216,2351,31.346666666666668,29.546666666666667,19.0,17.304525288376222
312404,2025,Rajasthan,Chittorgarh,48,30,1,79,102,2340,2442,30.911392405063292,29.620253164556964,19.0,17.304525288376222
312602,2025,Rajasthan,Chittorgarh,37,19,1,57,127,1220,1347,23.63157894736842,21.403508771929825,19.0,17.304525288376222
312620,2025,Rajasthan,Chittorgarh,67,37,2,106,187,2544,2731,25.764150943396228,24.0,19.0,17.304525288376222
313203,2025,Rajasthan,Udaipur,83,61,1,145,220,3699,3919,27.02758620689655,25.510344827586206,19.0,17.304525288376222
313703,2025,Rajasthan,Udaipur,115,82,2,199,194,5463,5657,28.42713567839196,27.452261306532662,19.0,17.304525288376222
314011,2025,Rajasthan,Dungarpur,144,75,1,220,241,4656,4897,22.259090909090908,21.163636363636364,19.0,17.304525288376222
314024,2025,Rajasthan,Dungarpur,63,30,0,93,117,3067,3184,34.236559139784944,32.97849462365591,19.0,17.304525288376222
314029,2025,Rajasthan,Dungarpur,85,51,0,136,84,2740,2824,20.764705882352942,20.147058823529413,19.0,17.304525288376222
314035,2025,Rajasthan,Dungarpur,112,72,2,186,176,5211,5387,28.962365591397848,28.016129032258064,19.0,17.304525288376222
314036,2025,Rajasthan,Dungarpur,122,54,2,178,127,5145,5272,29.617977528089888,28.90449438202247,19.0,17.304525288376222
314037,2025,Rajasthan,Dungarpur,129,103,1,233,172,5046,5218,22.394849785407725,21.65665236051502,19.0,17.304525288376222
314401,2025,Rajasthan,Dungarpur,62,25,0,87,116,4630,4746,54.55172413793103,53.2183908045977,19.0,17.304525288376222
314804,2025,Rajasthan,Dungarpur,142,86,2,230,176,5024,5200,22.608695652173914,21.843478260869563,19.0,17.304525288376222
323306,2025,Rajasthan,Chittorgarh,16,16,2,34,67,645,712,20.941176470588236,18.970588235294116,19.0,17.304525288376222
324001,2025,Rajasthan,Kota,307,79,4,390,1189,8455,9644,24.72820512820513,21.67948717948718,19.0,17.304525288376222
324005,2025,Rajasthan,Kota,342,84,8,434,1062,7590,8652,19.93548387096774,17.48847926267281,19.0,17.304525288376222
325209,2025,Rajasthan,Baran,42,10,0,52,73,1288,1361,26.173076923076923,24.76923076923077,19.0,17.304525288376222
325219,2025,Rajasthan,Baran,111,48,1,160,338,4312,4650,29.0625,26.95,19.0,17.304525288376222
